Customer Key,First Name,Last name,Registered Address,Registered City,Registered Province,Postal Code,Phone,Email,Gender,Age,latitude,longitude
33,Nohemi,Leko,[redacted],Sault Ste. Marie,ON,P6C 2C8,[redacted],[redacted],Not Specified,46,46.5353,-84.3732
34,Tambra,Lembke,[redacted],Salmon Arm,BC,V1E 4G9,[redacted],[redacted],M,31,50.6998,-119.2691
35,Vicki,Maikoksoong,[redacted],Richmond,BC,V7A 3N1,[redacted],[redacted],M,37,49.1205,-123.1171
36,Renato,Airhart,[redacted],Calgary,AB,T2A 2H9,[redacted],[redacted],M,57,51.0494,-113.9564
37,Lenita,Darbro,[redacted],Vernon,BC,V1T 7V8,[redacted],[redacted],M,19,50.2604,-119.2774
38,Barney,Hagen,[redacted],Saint-Hyacinthe,QC,J2S 2N3,[redacted],[redacted],Not Specified,23,45.6139,-72.9912
39,Matthew,Armacost,[redacted],Peterborough,ON,K9H 6C3,[redacted],[redacted],F,58,44.3245,-78.3184
40,Belen,Nelton,[redacted],Quesnel,BC,V2J 1N4,[redacted],[redacted],F,47,52.9784,-122.4931
41,Iesha,Wardle,[redacted],Etobicoke,ON,M8Z 2C1,[redacted],[redacted],F,44,43.6256,-79.5231
42,Francesco,Sarchet,[redacted],Regina,SK,S4T 4B1,[redacted],[redacted],M,28,50.4507,-104.665
43,Paulene,Rhule,[redacted],Matane,QC,G4W 3G6,[redacted],[redacted],M,33,48.8286,-67.522
44,Carole,Hughlett,[redacted],Abbotsford,BC,V2S 5R3,[redacted],[redacted],F,23,49.0423,-122.2835
45,Miss,Dunning,[redacted],Regina,SK,S4R 1J5,[redacted],[redacted],Not Specified,63,50.4855,-104.6163
46,Elfrieda,Hinsch,[redacted],Vernon,BC,V1T 4A3,[redacted],[redacted],F,47,50.2604,-119.2774
47,Edelmira,Calzado,[redacted],Regina,SK,S4R 3M1,[redacted],[redacted],M,19,50.4855,-104.6163
48,Jaime,Wasurick,[redacted],Saint-Damien,QC,J0K 2N1,[redacted],[redacted],Not Specified,43,46.7966,-73.8705
49,Lera,Hua,[redacted],Miramichi,NB,E1V 2N4,[redacted],[redacted],Not Specified,67,47.1942,-65.9381
50,Jame,Mastro,[redacted],Kitchener,ON,N2N 1Y6,[redacted],[redacted],M,62,43.426,-80.5438
51,Jillian,Hailstone,[redacted],Mississauga,ON,L4Z 2V7,[redacted],[redacted],F,29,43.6192,-79.6538
52,Louis,Zarling,[redacted],Stoneham-Et-Tewkesbury,QC,G3C 2A8,[redacted],[redacted],F,34,47.1691,-71.4332
53,Emmett,Mcshaw,[redacted],Sault Ste. Marie,ON,P6B 5Y2,[redacted],[redacted],M,35,46.5307,-84.3046
54,Tammy,Sams,[redacted],Nanaimo,BC,V9R 5W6,[redacted],[redacted],F,40,49.1609,-123.9825
55,Willis,Wylie,[redacted],Saint-Raymond,QC,G3L 3X9,[redacted],[redacted],F,28,47.2374,-71.8763
56,Maxima,Brzozowski,[redacted],St Catharines,ON,L2T 2V2,[redacted],[redacted],F,19,43.1313,-79.2317
57,Boris,Latif,[redacted],Quebec,QC,G1M 2H8,[redacted],[redacted],Not Specified,37,46.8183,-71.2706
58,Salina,Knavel,[redacted],Arnprior,ON,K7S 2G8,[redacted],[redacted],M,35,45.4334,-76.3494
59,Justa,Dini,[redacted],Vernon,BC,V1T 6J8,[redacted],[redacted],Not Specified,60,50.2604,-119.2774
60,Amalia,Wolfgang,[redacted],Windsor,ON,N8N 3V8,[redacted],[redacted],Not Specified,36,42.2946,-82.8667
61,Felix,Tutterrow,[redacted],London,ON,N6G 3E5,[redacted],[redacted],Not Specified,61,43.0147,-81.3049
62,Eura,Mcglocklin,[redacted],Lloydminster,SK,S9V 0C6,[redacted],[redacted],F,62,53.2835,-110.0016
63,Lang,Heuring,[redacted],Cambridge,ON,N1R 2X2,[redacted],[redacted],M,57,43.3666,-80.2239
64,Agustin,Lakatos,[redacted],Becancour,QC,G9H 4T4,[redacted],[redacted],Not Specified,50,46.3334,-72.4324
65,Jaime,Lowrance,[redacted],Winnipeg,MB,R3J 2Z1,[redacted],[redacted],F,46,49.8966,-97.2404
66,Carman,Gudiel,[redacted],St. Johns,NL,A1B 5B3,[redacted],[redacted],Not Specified,19,47.5698,-52.7796
67,Argelia,Hofbauer,[redacted],North Vancouver,BC,V7J 2J9,[redacted],[redacted],F,54,49.3622,-123.0178
68,Mammie,Cisney,[redacted],Montreal,QC,H1E 1R4,[redacted],[redacted],Not Specified,48,45.6342,-73.5842
69,Rashad,Menino,[redacted],Carleton Place,ON,K7C 2T3,[redacted],[redacted],Not Specified,25,45.1334,-76.1494
70,Janna,Bastain,[redacted],Vancouver,BC,V6N 3C5,[redacted],[redacted],F,65,49.2302,-123.189
71,Callie,Neikirk,[redacted],Mississauga,ON,L4T 0A1,[redacted],[redacted],M,36,43.7139,-79.6434
72,Coral,Helmcamp,[redacted],Toronto,ON,M5V 0B4,[redacted],[redacted],Not Specified,39,43.6404,-79.3995
73,Xenia,Mushero,[redacted],Kingston,ON,K7K 1P6,[redacted],[redacted],M,67,44.2569,-76.4717
74,Adelle,Nitcher,[redacted],Thorold,ON,L2V 5C7,[redacted],[redacted],M,20,43.1142,-79.2035
75,Hildegarde,Wehrwein,[redacted],West Vancouver,BC,V7T 1R7,[redacted],[redacted],Not Specified,54,49.3322,-123.1417
76,Phuong,Sugai,[redacted],Lavaltrie,QC,J5T 2C7,[redacted],[redacted],F,54,45.8834,-73.2825
77,Leontine,Lafoy,[redacted],Quebec,QC,G1J 4B2,[redacted],[redacted],Not Specified,67,46.838,-71.2232
78,Darell,Mcalarney,[redacted],Ajax,ON,L1S 6V3,[redacted],[redacted],F,47,43.8404,-79.0251
79,Madonna,Landman,[redacted],Castlegar,BC,V1N 3P7,[redacted],[redacted],F,41,49.2998,-117.6689
80,Chuck,Berggren,[redacted],St. Johns,NL,A1E 2L8,[redacted],[redacted],M,60,47.5334,-52.7595
81,Gregg,Epperheimer,[redacted],Lasalle,QC,H8R 3T2,[redacted],[redacted],F,41,45.3994,-73.6506
82,Yan,Bubrig,[redacted],Grand Manan,NB,E5G 1L1,[redacted],[redacted],F,55,44.6976,-66.8065
83,Stephanie,Garlett,[redacted],Kanata,ON,K2T 1G5,[redacted],[redacted],M,25,45.317,-75.9367
84,Alberto,Stenquist,[redacted],St Catharines,ON,L2N 6C7,[redacted],[redacted],Not Specified,24,43.1923,-79.2559
85,Wayne,Shivers,[redacted],Chicoutimi,QC,G7H 6A2,[redacted],[redacted],F,35,48.4187,-71.0417
86,Kristal,Bothe,[redacted],Paradise,NL,A1L 2Y8,[redacted],[redacted],Not Specified,47,47.5291,-52.8814
87,Florencia,Stadel,[redacted],Ingersoll,ON,N5C 2W2,[redacted],[redacted],M,31,43.0334,-80.883
88,Darrin,Tumolillo,[redacted],Saskatoon,SK,S7H 1X9,[redacted],[redacted],Not Specified,56,52.1168,-106.6345
89,Freeman,Rudig,[redacted],Otterburn Park,QC,J3H 4V8,[redacted],[redacted],M,26,45.5527,-73.1755
90,Lazaro,Mollison,[redacted],Beloeil,QC,J3G 3J4,[redacted],[redacted],F,48,45.5946,-73.2283
91,Ellsworth,Rieg,[redacted],Napanee,ON,K7R 1K5,[redacted],[redacted],Not Specified,55,44.2501,-76.9494
92,Brinda,Mrkvicka,[redacted],Newbridge,NB,E7N 1J4,[redacted],[redacted],F,37,46.0555,-67.5839
93,Florinda,Mackedanz,[redacted],Dieppe,NB,E1A 8X6,[redacted],[redacted],F,65,46.0967,-64.7087
94,Nadine,Swartzbeck,[redacted],Beloeil,QC,J3G 4M4,[redacted],[redacted],M,53,45.5946,-73.2283
95,Arlette,Torchio,[redacted],Lasalle,QC,H8R 3C2,[redacted],[redacted],M,26,45.3994,-73.6506
96,Adolph,Krivanec,[redacted],Etobicoke,ON,M8Y 3L6,[redacted],[redacted],Not Specified,39,43.6325,-79.4939
97,Georgiana,Colbath,[redacted],Sainte-Therese,QC,J7E 3C9,[redacted],[redacted],F,25,45.6442,-73.8448
98,Rana,Lehn,[redacted],Milton,ON,L9T 5W8,[redacted],[redacted],Not Specified,55,43.5148,-79.884
99,Chi,Morgan,[redacted],Saint-Raymond,QC,G3L 3K2,[redacted],[redacted],F,54,47.2374,-71.8763
100,Starr,Prothro,[redacted],Chicoutimi,QC,G7H 4M5,[redacted],[redacted],M,23,48.4187,-71.0417
101,Glennis,Roseum,[redacted],Brandon,MB,R7A 4C6,[redacted],[redacted],M,38,49.8174,-99.9565
102,Thea,Petermeier,[redacted],Sept-Iles,QC,G4S 1Z5,[redacted],[redacted],F,64,50.2713,-66.3751
103,Rosalind,Persechino,[redacted],Kanata,ON,K2M 1E6,[redacted],[redacted],F,28,45.2861,-75.8562
104,Shenika,Tapian,[redacted],Ottawa,ON,K1S 1N5,[redacted],[redacted],M,50,45.399,-75.6871
105,Veta,Vandeberg,[redacted],Juniper,NB,E7L 1G1,[redacted],[redacted],M,32,46.5528,-67.305
106,Herschel,Geneseo,[redacted],Toronto,ON,M4V 1Y3,[redacted],[redacted],Not Specified,22,43.6861,-79.4025
107,Dianne,Tomasic,[redacted],Dartmouth,NS,B2Y 3L2,[redacted],[redacted],M,24,44.6645,-63.5453
108,Micah,Gerten,[redacted],St. Johns,NL,A1E 2J5,[redacted],[redacted],Not Specified,44,47.5334,-52.7595
109,Kaycee,Alaibilla,[redacted],Vancouver,BC,V6R 1N3,[redacted],[redacted],Not Specified,52,49.2666,-123.1976
110,Tesha,Brang,[redacted],Montreal,QC,H4K 2N2,[redacted],[redacted],M,19,45.5171,-73.7363
111,Marya,Chhour,[redacted],Calgary,AB,T3Z 3S8,[redacted],[redacted],M,26,51.0691,-114.4727
112,Ronnie,Kettelle,[redacted],Halifax,NS,B3H 1M2,[redacted],[redacted],F,62,44.6344,-63.5822
113,Mabel,Fower,[redacted],Chicoutimi,QC,G7H 3T5,[redacted],[redacted],Not Specified,53,48.4187,-71.0417
114,Harley,Works,[redacted],Woodstock,ON,N4S 2K1,[redacted],[redacted],F,21,43.1432,-80.7338
115,Joye,Nedman,[redacted],Regina,SK,S4N 3J4,[redacted],[redacted],Not Specified,21,50.4671,-104.541
116,Luisa,Harnish,[redacted],Vancouver,BC,V5X 2B5,[redacted],[redacted],F,59,49.2156,-123.0979
117,Stacey,Lortz,[redacted],Scarborough,ON,M1K 1H4,[redacted],[redacted],Not Specified,54,43.7298,-79.2639
118,Reyes,Mesmer,[redacted],Hamilton,ON,L8S 2N1,[redacted],[redacted],M,21,43.2606,-79.9161
119,Avery,Demus,[redacted],Maple Ridge,BC,V4R 1Z3,[redacted],[redacted],M,62,49.2903,-122.5169
120,Colby,Scotts,[redacted],Barrie,ON,L4N 3M9,[redacted],[redacted],M,62,44.3572,-79.6929
121,Afton,Wrinkle,[redacted],Ottawa,ON,K1N 6S5,[redacted],[redacted],M,46,45.4289,-75.6844
122,India,Sifford,[redacted],Toronto,ON,M5N 1J1,[redacted],[redacted],Not Specified,31,43.7113,-79.4195
123,Brunilda,Coin,[redacted],Saint-Paul,NB,E4T 3B9,[redacted],[redacted],Not Specified,60,46.3042,-64.972
124,Jenifer,Emanuel,[redacted],Duncan,BC,V9L 4G2,[redacted],[redacted],M,36,48.7829,-123.7027
125,Makeda,Nosis,[redacted],Toronto,ON,M5K 1A1,[redacted],[redacted],F,47,43.6469,-79.3823
126,Vivan,Oppy,[redacted],Swift Current,SK,S9H 3S9,[redacted],[redacted],F,41,50.2834,-107.8013
127,Eric,Gazzola,[redacted],Saint-Georges,QC,G5Z 0N4,[redacted],[redacted],M,54,46.0642,-70.7118
128,Thersa,Davirro,[redacted],Kamloops,BC,V2C 6S8,[redacted],[redacted],F,45,50.5437,-120.0937
129,Mindy,Presnal,[redacted],Vancouver,BC,V5X 3K2,[redacted],[redacted],M,38,49.2156,-123.0979
130,Luis,Metzner,[redacted],Trois-Rivieres,QC,G8V 2J6,[redacted],[redacted],F,43,46.4098,-72.4908
131,Dawne,Mcloud,[redacted],Stoney Creek,ON,L8E 2E4,[redacted],[redacted],M,36,43.2245,-79.6988
132,Karrie,Kinikini,[redacted],Kamloops,BC,V2B 7X9,[redacted],[redacted],M,49,50.8869,-120.7357
133,Mozelle,Hermon,[redacted],Mount Pisgah,NB,E4G 1E8,[redacted],[redacted],M,28,45.8552,-65.4795
134,Mila,Hair,[redacted],Saint-Leonard,QC,H1P 1M8,[redacted],[redacted],M,20,45.5966,-73.5928
135,Gilma,Jefferys,[redacted],Halifax,NS,B3H 4E1,[redacted],[redacted],F,44,44.6344,-63.5822
136,Armanda,Mcduffie,[redacted],Cowansville,QC,J2K 2M6,[redacted],[redacted],F,60,45.2001,-72.7491
137,Vonda,Normandeau,[redacted],Mirabel,QC,J7J 1G7,[redacted],[redacted],Not Specified,40,45.7045,-73.9472
138,Truman,Mondale,[redacted],Peterborough,ON,K9J 0A1,[redacted],[redacted],M,49,44.3104,-78.2396
139,Elvis,Tenuta,[redacted],Calgary,AB,T2B 0X5,[redacted],[redacted],M,37,51.0209,-113.981
140,Loise,Dedaj,[redacted],Saskatoon,SK,S7K 5J3,[redacted],[redacted],M,64,52.0111,-106.7955
141,Jannette,Pedder,[redacted],Vancouver,BC,V6L 2V9,[redacted],[redacted],F,45,49.2497,-123.166
142,Margo,Rand,[redacted],Concord,ON,L4K 1J7,[redacted],[redacted],Not Specified,21,43.8001,-79.4829
143,Dahlia,Benett,[redacted],Alma,QC,G8B 1K7,[redacted],[redacted],F,51,48.5548,-71.673
144,Dominga,Mckeon,[redacted],Trois-Rivieres,QC,G8T 7G3,[redacted],[redacted],Not Specified,37,46.3877,-72.5357
145,Hollis,Keomuangtai,[redacted],Keswick,ON,L4P 1V3,[redacted],[redacted],M,57,44.2501,-79.4663
146,Carry,Ziller,[redacted],Strathroy,ON,N7G 3H9,[redacted],[redacted],F,67,42.9551,-81.6223
147,Bong,Fears,[redacted],Pierrefonds,QC,H9H 3C8,[redacted],[redacted],F,29,45.4683,-73.8565
148,Yolande,Staiano,[redacted],Orleans,ON,K1C 3C7,[redacted],[redacted],M,21,45.4677,-75.5399
149,Lottie,Hegdahl,[redacted],Unionville,ON,L3R 2H1,[redacted],[redacted],Not Specified,28,43.8479,-79.3288
150,Jose,Kylish,[redacted],Pierrefonds,QC,H9J 1W6,[redacted],[redacted],Not Specified,63,45.4501,-73.8659
151,Tuyet,Abramovitz,[redacted],Richmond Hill,ON,L4E 4P3,[redacted],[redacted],F,41,43.9394,-79.4349
152,Pearline,Provenzano,[redacted],Concord,ON,L4K 1V4,[redacted],[redacted],M,25,43.8001,-79.4829
153,Robt,Hankison,[redacted],Quebec,QC,G1L 4H3,[redacted],[redacted],M,64,46.8304,-71.2455
154,Shawnee,Kesten,[redacted],Big Ridge,NS,B1K 1X8,[redacted],[redacted],Not Specified,64,45.9668,-60.2318
155,Lacresha,Quinones,[redacted],Vaudreuil-Dorion,QC,J7V 5V8,[redacted],[redacted],M,27,45.4001,-74.0325
156,Basilia,Vinroe,[redacted],Quebec,QC,G1H 1A6,[redacted],[redacted],F,30,46.8528,-71.2573
157,Aleisha,Areizaga,[redacted],Quebec,QC,G1C 5G2,[redacted],[redacted],M,46,46.8801,-71.196
158,Frank,Tryninewski,[redacted],Prince Albert,SK,S6V 6E5,[redacted],[redacted],M,23,54.493,-104.3049
159,Ria,Steinhorst,[redacted],Jonquiere,QC,G7S 2S3,[redacted],[redacted],M,66,48.4294,-71.1774
160,Carla,Kallenberger,[redacted],Hanover,ON,N4N 1Z7,[redacted],[redacted],F,30,44.1501,-81.033
161,Lashanda,Skahan,[redacted],Gray Rapids,NB,E9B 1G6,[redacted],[redacted],M,45,46.7398,-65.8319
162,Jarod,Catalina,[redacted],North Bay,ON,P1B 2L4,[redacted],[redacted],F,20,46.3364,-79.583
163,Leoma,Rabago,[redacted],Nanaimo,BC,V9R 6W5,[redacted],[redacted],Not Specified,45,49.1609,-123.9825
164,Yasuko,Greeves,[redacted],Vernon,BC,V1B 3Z4,[redacted],[redacted],M,20,50.084,-118.938
165,Jimmie,Snelling,[redacted],Oakville,ON,L6J 7H9,[redacted],[redacted],F,54,43.4757,-79.6591
166,Titus,Dugre,[redacted],Gatineau,QC,J9J 0V4,[redacted],[redacted],M,49,45.4394,-75.8465
167,Joanne,Teoh,[redacted],St Catharines,ON,L2M 1R4,[redacted],[redacted],M,51,43.196,-79.2161
168,Suzi,Groom,[redacted],Surrey,BC,V3S 7P4,[redacted],[redacted],F,66,49.0791,-122.7553
169,Denny,Amazan,[redacted],Surrey,BC,V4A 8M9,[redacted],[redacted],Not Specified,63,49.0374,-122.8299
170,Willie,Coughlan,[redacted],Cantley,QC,J8V 3K1,[redacted],[redacted],Not Specified,45,45.5711,-75.7615
171,Margurite,Brake,[redacted],Amherstburg,ON,N9V 1S8,[redacted],[redacted],Not Specified,22,42.1168,-83.0498
172,Arlen,Romack,[redacted],Saint John,NB,E2K 3R6,[redacted],[redacted],F,26,45.3053,-66.0808
173,Shaniqua,Corna,[redacted],North York,ON,M3H 5X6,[redacted],[redacted],Not Specified,47,43.7535,-79.4472
174,William,Boccard,[redacted],Pointe-aux-Trembles,QC,H1B 4R4,[redacted],[redacted],F,59,45.632,-73.5075
175,Silva,Riviere,[redacted],Pierrefonds,QC,H8Y 2A9,[redacted],[redacted],M,22,45.5084,-73.8075
176,Gearldine,Haberle,[redacted],Calgary,AB,T2J 0S5,[redacted],[redacted],Not Specified,23,50.8476,-114.1958
177,Azalee,Aja,[redacted],Chateauguay,QC,J6J 3J8,[redacted],[redacted],Not Specified,19,45.3691,-73.7216
178,Kimbery,Plikerd,[redacted],Duncan,BC,V9L 2E9,[redacted],[redacted],Not Specified,43,48.7829,-123.7027
179,Ricarda,Kratt,[redacted],New Glasgow,NS,B2H 3Y5,[redacted],[redacted],F,66,45.5834,-62.6486
180,Macy,Massay,[redacted],Dauphin,MB,R7N 2C7,[redacted],[redacted],F,38,51.1494,-100.0502
181,Carol,Normington,[redacted],Alma,QC,G8E 1G2,[redacted],[redacted],Not Specified,40,48.6377,-71.6957
182,Blythe,Czaplinski,[redacted],Calgary,AB,T2V 2M5,[redacted],[redacted],Not Specified,31,50.9819,-114.1004
183,Tanesha,Tesseneer,[redacted],Etobicoke,ON,M9R 2W5,[redacted],[redacted],F,32,43.6898,-79.5582
184,Yaeko,Orndoff,[redacted],St Thomas,ON,N5P 2E5,[redacted],[redacted],M,57,42.7779,-81.1769
185,Broderick,Lorenz,[redacted],Saskatoon,SK,S7N 3M6,[redacted],[redacted],M,57,52.1404,-106.608
186,Twila,Shadle,[redacted],Victoria,BC,V8Y 1H4,[redacted],[redacted],F,63,48.5247,-123.3745
187,Sarina,Pead,[redacted],Ajax,ON,L1S 1S7,[redacted],[redacted],F,20,43.8404,-79.0251
188,Candra,Peets,[redacted],North Bay,ON,P1B 2V6,[redacted],[redacted],M,22,46.3364,-79.583
189,Von,Aprigliano,[redacted],Port Moody,BC,V3H 1E8,[redacted],[redacted],M,40,49.3231,-122.8626
190,Natalya,Verso,[redacted],Kitchener,ON,N2A 1S3,[redacted],[redacted],F,54,43.4413,-80.4246
191,Stanton,Rigazio,[redacted],North York,ON,M3M 2A4,[redacted],[redacted],M,19,43.7319,-79.4928
192,Dona,Larner,[redacted],York,ON,M6M 1V5,[redacted],[redacted],F,28,43.6934,-79.4857
193,Cortney,Choice,[redacted],Greenfield Park,QC,J4V 3G8,[redacted],[redacted],M,26,45.4865,-73.4622
194,Ira,Betterton,[redacted],Halifax,NS,B3K 3E4,[redacted],[redacted],M,42,44.662,-63.6017
195,Vanna,Pickle,[redacted],Newmarket,ON,L3Y 3M4,[redacted],[redacted],M,33,44.0565,-79.4555
196,Bo,Sabota,[redacted],Winnipeg,MB,R3R 2Z5,[redacted],[redacted],F,41,49.8546,-97.2874
197,Nathalie,Corners,[redacted],Peterborough,ON,K9H 4B6,[redacted],[redacted],M,44,44.3245,-78.3184
198,Rodney,Lockamy,[redacted],Ottawa,ON,K1S 2E4,[redacted],[redacted],M,64,45.399,-75.6871
199,Elena,Hairr,[redacted],Stephenville,NL,A2N 2N4,[redacted],[redacted],Not Specified,20,48.55,-58.5818
200,Blossom,Kraatz,[redacted],North York,ON,M4A 2A6,[redacted],[redacted],Not Specified,45,43.7276,-79.3148
201,Loreen,Griepentrog,[redacted],Orleans,ON,K1C 2E5,[redacted],[redacted],F,61,45.4677,-75.5399
202,Tayna,Keirnan,[redacted],Barrie,ON,L4N 5C5,[redacted],[redacted],M,28,44.3572,-79.6929
203,Nieves,Planty,[redacted],Peterborough,ON,K9H 3K7,[redacted],[redacted],Not Specified,44,44.3245,-78.3184
204,Glenn,Robinault,[redacted],Lachine,QC,H8S 3A8,[redacted],[redacted],F,22,45.4402,-73.6747
205,Julianna,Racer,[redacted],Saint John,NB,E2K 5L7,[redacted],[redacted],Not Specified,53,45.3053,-66.0808
206,Ashton,Nitchals,[redacted],Oakville,ON,L6H 5G1,[redacted],[redacted],Not Specified,22,43.4881,-79.7098
207,Shaun,Scovil,[redacted],Pickering,ON,L1W 2P9,[redacted],[redacted],Not Specified,58,43.8197,-79.0803
208,Long,Shintaku,[redacted],Blainville,QC,J7C 2R9,[redacted],[redacted],Not Specified,48,45.689,-73.8671
209,Vinnie,Meir,[redacted],Etobicoke,ON,M8Y 1G5,[redacted],[redacted],F,61,43.6325,-79.4939
210,Lucia,Flipp,[redacted],Scarborough,ON,M1E 3L6,[redacted],[redacted],F,27,43.7678,-79.1866
211,Corazon,Ivaska,[redacted],Saskatoon,SK,S7K 3K7,[redacted],[redacted],F,66,52.0111,-106.7955
212,Jaime,Perugini,[redacted],Verdun,QC,H4G 1X4,[redacted],[redacted],Not Specified,61,45.4643,-73.5698
213,Miriam,Stakes,[redacted],Burlington,ON,L7L 5E8,[redacted],[redacted],Not Specified,42,43.3799,-79.7668
214,Vallie,Nigl,[redacted],North Vancouver,BC,V7H 2J2,[redacted],[redacted],Not Specified,39,49.3551,-122.9802
215,Sheldon,Isachsen,[redacted],Valley,NS,B6L 3K5,[redacted],[redacted],Not Specified,46,45.4093,-63.2114
216,Nickie,Balonek,[redacted],North Vancouver,BC,V7J 3P8,[redacted],[redacted],M,47,49.3622,-123.0178
217,Fletcher,Caneles,[redacted],Hamilton,ON,L8S 3V2,[redacted],[redacted],Not Specified,57,43.2606,-79.9161
218,Rutha,Eisert,[redacted],Niagara Falls,ON,L2G 3H6,[redacted],[redacted],F,29,43.0696,-79.0818
219,Brandon,Geigel,[redacted],Vancouver,BC,V5Z 3S8,[redacted],[redacted],M,47,49.2475,-123.121
220,Franchesca,Lamme,[redacted],Charlottetown,PE,C1E 1W8,[redacted],[redacted],F,50,46.3451,-63.2011
221,Lorriane,Naddeo,[redacted],Duncan,BC,V9L 2T9,[redacted],[redacted],Not Specified,62,48.7829,-123.7027
222,Asuncion,Berson,[redacted],Reinfeld,MB,R6W 1K7,[redacted],[redacted],F,28,49.1817,-97.941
223,Georgiann,Hoerter,[redacted],Grand-Mere,QC,G9T 3C3,[redacted],[redacted],F,57,46.6315,-72.737
224,Hershel,Bultron,[redacted],London,ON,N5Z 1R6,[redacted],[redacted],F,23,42.966,-81.2053
225,Chu,Collopy,[redacted],Trois-Rivieres,QC,G8V 2J6,[redacted],[redacted],F,38,46.4098,-72.4908
226,Bettina,Vosmus,[redacted],Vancouver,BC,V6H 3Y2,[redacted],[redacted],F,47,49.2559,-123.1322
227,Lynsey,Sport,[redacted],Chilliwack,BC,V2P 6L6,[redacted],[redacted],F,60,49.1838,-121.9046
228,Phil,Kuechler,[redacted],Jonquiere,QC,G7X 2X4,[redacted],[redacted],F,21,48.3199,-71.4149
229,Cordelia,Nicks,[redacted],Georgetown,ON,L7G 2T4,[redacted],[redacted],Not Specified,38,43.6501,-79.9163
